filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Howe_Cercle	Howe_Cercle	Howe, Imogen	F	Cercle infernal	sentimental	1985	nan	1985	1985
Toussaint_Salle	Toussaint_Salle	Toussaint, Jean-Philippe	M	Salle Bain	blanche	1985	1985	nan	NA
Duras_Yeux	Duras_Yeux	Duras, Marguerite	F	Les Yeux Bleus Cheveux Noirs	blanche	1986	1986	nan	NA
Benabou_Pourquoi	Jeury_Mondes	Bénabout, Marcel	M	Pourquoi je n'ai écrit aucun de mes livres	blanche	1986	1986	1986	1986
Daeninckx_Bourreau	Daeninckx_Bourreau	Daeninckx, Didier	M	Le Bourreau	policier	1986	1986	nan	NA
Kallen_Greenfield	Kallen_Greenfield	Greenfield, Lucille	F	Greenfield connaît la musique	policier	1986	nan	1986	1986
Byron_Menaces	Byron_Menaces	Byron, Amanda	F	Menaces	sentimental	1986	nan	1986	1986
Simpson_Feu	Simpson_Feu	Simpson, Dorothy	F	Feu le mari de madame	policier	1986	nan	1986	1986
Toussaint_Monsieur	Toussaint_Monsieur	Toussaint, Jean-Philippe	M	Monsieur	blanche	1986	1986	nan	NA
Curval_Jouer	Curval_Jouer	Curval, Philippe	M	Comment jouer à l'homme invisible en trois lecons	scifi	1986	nan	1986	1986
Carrere_Moustache	Carrere_Moustache	Carrère, Emmanuel	M	La moustache	blanche	1986	nan	1986	1986
Labro_Etudiant	Labro_Etudiant	Labro, Philippe	M	L'étudiant étranger	blanche	1986	nan	1986	1986
Vargas_Jeux	Vargas_Jeux	Vargas, Fred	F	Les jeux de l'amour et de la Mort	policier	1986	1986	nan	NA
Moyes_Qui	Moyes_Qui	Moyes, Patricia	F	Qui a peur de Simon Warwick?	policier	1986	nan	1986	1986
Spinrad_Miroirs	Spinrad_Miroirs	Spinrad, Norman	M	Les miroirs de l'esprit	scifi	1986	nan	1986	1986
Deon_Montee	Deon_Montee	Déon, Michel	M	La montée du soir	blanche	1987	nan	1987	1987
Marceau_Passions	Marceau_Passions	Marceau, Félicien	M	Les passions partagées	blanche	1987	nan	1987	1987
